ID,Prob1
0,0.3664108278
1,0.8788854136
2,0.1837289543
3,0.8591183711
4,0.6229064710
5,0.4261661436
6,0.2276961496
7,0.1251419227
8,0.1529538633
9,0.2442972467
10,0.3264246699
11,0.8989705605
12,0.1225051759
13,0.1758168262
14,0.1580925719
15,0.0744126048
16,0.5419684406
17,0.0854723264
18,0.4254238971
19,0.7910609215
20,0.5393385860
21,0.2933982655
22,0.8397402304
23,0.7412529634
24,0.6136928002
25,0.4989994287
26,0.1111994937
27,0.1409295033
28,0.2245855096
29,0.2182869532
30,0.6647108156
31,0.1006114875
32,0.9083581433
33,0.1214248812
34,0.3702001758
35,0.2127170876
36,0.1915434559
37,0.7003111603
38,0.3481787659
39,0.2375455593
40,0.3627562691
41,0.7178473900
42,0.4642165943
43,0.1990709883
44,0.4667258157
45,0.5155500103
46,0.8578541157
47,0.3542568350
48,0.8478650541
49,0.4062613537
50,0.1046685411
51,0.5840528871
52,0.4751690391
53,0.1493363050
54,0.7904514332
55,0.4488162369
56,0.2945811561
57,0.1816160952
58,0.4825933732
59,0.5171436957
60,0.5055401630
61,0.2977615699
62,0.1442397183
63,0.3814230293
64,0.1205338291
65,0.6461200897
66,0.1269732254
67,0.6899933411
68,0.0779189234
69,0.9332734642
70,0.1767073811
71,0.3503335017
72,0.3091653357
73,0.1040171715
74,0.6743883775
75,0.7064313186
76,0.6497203041
77,0.0765465167
78,0.1740681477
79,0.1234551439
80,0.1605997498
81,0.3254592335
82,0.2949262673
83,0.1284844221
84,0.7232360982
85,0.1476643068
86,0.1008155699
87,0.4306816979
88,0.0801819179
89,0.0717969137
90,0.6424938011
91,0.6917135058
92,0.4432572866
93,0.0955209369
94,0.0961125967
95,0.6839024122
96,0.6276821210
97,0.2129274847
98,0.2302298634
99,0.3243846092
100,0.2596435542
101,0.0836636046
102,0.2921777967
103,0.3924858824
104,0.1898880238
105,0.4070352716
106,0.2735445517
107,0.1225724674
108,0.0895198244
109,0.2938471273
110,0.0882414252
111,0.1566015177
112,0.8465142887
113,0.5430433167
114,0.7543950790
115,0.2403658888
116,0.7632562027
117,0.2409281754
118,0.9004565470
119,0.1344087723
120,0.7930533229
121,0.1312202496
122,0.0893858541
123,0.8685283845
124,0.3983448466
125,0.7768164209
126,0.1795794115
127,0.1233022486
128,0.1554390933
129,0.2107995698
130,0.3213107874
131,0.1420397374
132,0.3496174893
133,0.1397095883
134,0.2809307225
135,0.8297354012
136,0.3988152149
137,0.1266063685
138,0.1626069656
139,0.7293044005
140,0.3961557698
141,0.2910662941
142,0.2085450113
143,0.2023256527
144,0.5842150205
145,0.9201495649
146,0.8771720468
147,0.3552780284
148,0.2227221399
149,0.5866616195
150,0.1287035578
151,0.1076991379
152,0.1960659713
153,0.2954539216
154,0.1585315180
155,0.0775055019
156,0.7216809204
157,0.6518773892
158,0.3647264921
159,0.1858778126
160,0.8996696869
161,0.2853259771
162,0.3312386510
163,0.9329921942
164,0.3286729009
165,0.3625848981
166,0.1371398151
167,0.2301387026
168,0.0982184023
169,0.2438832808
170,0.1158330836
171,0.1503010730
172,0.2785823463
173,0.8778313762
174,0.1507943364
175,0.5322723691
176,0.0977625629
177,0.5394086447
178,0.7920553068
179,0.2258002263
180,0.2208355763
181,0.4326976239
182,0.2504997594
183,0.8811330057
184,0.2250479268
185,0.2214818102
186,0.6494428704
187,0.1500991838
188,0.0958533248
189,0.2232928740
190,0.1002427245
191,0.0888591792
192,0.2351978645
193,0.1944652337
194,0.2174663715
195,0.1479407482
196,0.1023271497
197,0.1168744617
198,0.3691217201
199,0.2001353073
200,0.1569113797
201,0.1372555249
202,0.1397093044
203,0.2221940162
204,0.1151742613
205,0.8716745852
206,0.1828434904
207,0.0780594519
208,0.1687753878
209,0.0909902916
210,0.1423227328
211,0.1586072990
212,0.5421878855
213,0.3399562096
214,0.3831382321
215,0.6014993972
216,0.2436252874
217,0.2424078208
218,0.2885313179
219,0.3933058606
220,0.3294751721
221,0.6396273686
222,0.3392153602
223,0.3404873305
224,0.0829938083
225,0.2976628438
226,0.2026397935
227,0.1352637758
228,0.5400039611
229,0.3456660940
230,0.2289258271
231,0.1710419963
232,0.2269815043
233,0.8580224330
234,0.1506109300
235,0.3187283943
236,0.1747310034
237,0.2213626241
238,0.8225092428
239,0.6878397344
240,0.3482258558
241,0.1383554942
242,0.8820407199
243,0.5295416406
244,0.5200698268
245,0.2118669483
246,0.1224945341
247,0.2380235155
248,0.4151401305
249,0.6550572626
250,0.1941098408
251,0.1964104888
252,0.5543539578
253,0.3249500025
254,0.8627311978
255,0.1723717581
256,0.0913716411
257,0.0758814952
258,0.6490282066
259,0.4690982463
260,0.8455968313
261,0.1537896756
262,0.1243205254
263,0.1222119143
264,0.2458471486
265,0.8700797643
266,0.4283712290
267,0.1165444053
268,0.2297470207
269,0.5192355899
270,0.4924801695
271,0.2812212816
272,0.1146758269
273,0.3038225103
274,0.1508978116
275,0.3638460514
276,0.3298224028
277,0.6003849725
278,0.2629808411
279,0.1204847890
280,0.4550815421
281,0.6963103626
282,0.3230528013
283,0.1844143926
